city,state,price median,listings,price stddev
Carmel,CA,262,18,166
Incline Village,NV,200,15,204
Hermosa Beach,CA,199,13,359
Truckee,NV,194,22,138
Malibu,CA,188,26,257
Laguna Beach,CA,188,20,84
La Jolla,CA,175,18,65
Sonoma,CA,172,80,173
New York,NY,165,4645,108
Sunny Isles Beach,FL,164,70,98
Napa,CA,159,29,130
Beverly Hills,CA,152,28,262
Park City,UT,150,71,171
Sausalito,CA,150,31,191
San Francisco,CA,149,2046,272
Boston,MA,149,336,97
Marina Del Rey,CA,149,46,83
Venice,CA,145,104,94
Mill Valley,CA,140,36,102
Newport Beach,CA,139,33,195
Santa Monica,CA,130,200,156
Austin,TX,125,964,192
Miami Beach,FL,125,606,186
Cambridge,MA,125,171,71
West Hollywood,CA,125,111,112
Taos,NM,125,17,30
Washington,DC,120,675,74
New Orleans,LA,120,388,114
Carlsbad,CA,120,14,93
Santa Cruz,CA,118,74,104
Charleston,SC,112,54,109
Davenport,FL,111,38,29
Brooklyn,NY,110,2487,76
San Diego,CA,110,401,112
Miami,FL,110,267,78
Palo Alto,CA,110,42,67
Las Vegas,NV,109,123,190
San Rafael,CA,106,23,77
Los Angeles,CA,105,1602,97
Mountain View,CA,105,45,128
Chicago,IL,100,753,90
Pasadena,CA,100,34,55
Brookline,MA,100,29,82
Naples,FL,100,14,66
Long Beach,CA,99,59,59
Santa Rosa,CA,99,37,99
Sebastopol,CA,99,29,131
Anchorage,AK,99,15,33
Savannah,GA,98,69,49
Fort Lauderdale,FL,98,54,75
Scottsdale,AZ,98,42,679
Louisville,KY,97,34,159
Philadelphia,PA,95,273,62
Honolulu,HI,95,210,62
Berkeley,CA,95,166,65
Somerville,MA,95,61,109
Seattle,WA,93,492,90
Hollywood,FL,92,44,105
Kissimmee,FL,90,82,25
Ann Arbor,MI,90,26,95
Queens,NY,89,261,44
Boulder,CO,89,121,79
Glendale,CA,89,27,33
Arlington,VA,88,91,55
Long Island City,NY,88,84,30
Oakland,CA,85,221,90
Houston,TX,85,69,39
Charlotte,NC,85,58,61
Dallas,TX,85,52,82
San Jose,CA,85,47,76
Alexandria,VA,85,25,37
Providence,RI,84,42,33
Nashville,TN,80,113,45
Jersey City,NJ,80,65,47
Pittsburgh,PA,80,60,43
Indianapolis,IN,80,44,82
New Haven,CT,80,25,34
Paris,RI,80,18,52
Atlanta,GA,79,162,69
Minneapolis,MN,79,71,67
Colorado Springs,CO,79,19,45
San Antonio,TX,78,38,39
Madison,WI,77,38,39
Portland,OR,75,509,46
Denver,CO,75,140,55
Tucson,AZ,75,84,48
Phoenix,AZ,75,73,58
Salt Lake City,UT,75,68,66
Eugene,OR,75,42,72
Silver Spring,MD,75,23,36
Tampa,FL,72,28,54
Baltimore,MD,69,77,49
Cincinnati,OH,69,23,79
Richmond,VA,67,25,41
Orlando,FL,65,52,40
Raleigh,NC,64,27,33
Albuquerque,NM,61,42,57
Bronx,NY,60,72,34
Durham,NC,58,32,25
Sacramento,CA,55,29,44
